"trial","dataset","model","score"
"44","moons","Linear Discriminant Analysis","0.825"
"44","moons","NN","0.8"
"44","moons","NN + L2","0.775"
"44","moons","NN + Scale Invariant","0.8"
"44","circles","Random Forest","0.8"
"44","circles","Linear Discriminant Analysis","0.3"
"44","circles","NN","0.575"
"44","circles","NN + L2","0.525"
"44","circles","NN + Scale Invariant","0.525"
"44","linear","Random Forest","0.775"
"44","linear","Linear Discriminant Analysis","0.8"
"44","linear","NN","0.8"
"44","linear","NN + L2","0.8"
"44","linear","NN + Scale Invariant","0.8"
"45","moons","Random Forest","0.85"
"45","moons","Linear Discriminant Analysis","0.8"
"45","moons","NN","0.8"
"45","moons","NN + L2","0.825"
"45","moons","NN + Scale Invariant","0.8"
"45","circles","Random Forest","0.825"
"45","circles","Linear Discriminant Analysis","0.45"
"45","circles","NN","0.625"
"45","circles","NN + L2","0.7"
"45","circles","NN + Scale Invariant","0.675"
"45","linear","Random Forest","0.775"
"45","linear","Linear Discriminant Analysis","0.775"
"45","linear","NN","0.75"
"45","linear","NN + L2","0.7"
"45","linear","NN + Scale Invariant","0.75"
"46","moons","Random Forest","0.775"
"46","moons","Linear Discriminant Analysis","0.75"
"46","moons","NN","0.7"
"46","moons","NN + L2","0.7"
"46","moons","NN + Scale Invariant","0.75"
"46","circles","Random Forest","0.85"
"46","circles","Linear Discriminant Analysis","0.35"
"46","circles","NN","0.675"
"46","circles","NN + L2","0.65"
"46","circles","NN + Scale Invariant","0.675"
"46","linear","Random Forest","0.875"
"46","linear","Linear Discriminant Analysis","0.875"
"46","linear","NN","0.875"
"46","linear","NN + L2","0.875"
"46","linear","NN + Scale Invariant","0.85"
"47","moons","Random Forest","0.85"
"47","moons","Linear Discriminant Analysis","0.775"
"47","moons","NN","0.725"
"47","moons","NN + L2","0.775"
"47","moons","NN + Scale Invariant","0.75"
"47","circles","Random Forest","0.725"
"47","circles","Linear Discriminant Analysis","0.45"
"47","circles","NN","0.7"
"47","circles","NN + L2","0.6"
"47","circles","NN + Scale Invariant","0.8"
"47","linear","Random Forest","0.8"
"47","linear","Linear Discriminant Analysis","0.825"
"47","linear","NN","0.85"
"47","linear","NN + L2","0.825"
"47","linear","NN + Scale Invariant","0.825"
"48","moons","Random Forest","0.825"
"48","moons","Linear Discriminant Analysis","0.825"
"48","moons","NN","0.85"
"48","moons","NN + L2","0.825"
"48","moons","NN + Scale Invariant","0.825"
