"trial","dataset","model","missclassification"
"26","xor","NN + Offset Invariant","0.2"
"27","moons","Random Forest","0.125"
"27","moons","Linear Discriminant Analysis","0.15"
"27","moons","NN","0.175"
"27","moons","NN + L2","0.2"
"27","moons","NN + Scale Invariant","0.225"
"27","moons","NN + Offset Invariant","0.175"
"27","circles","Random Forest","0.2"
"27","circles","Linear Discriminant Analysis","0.525"
"27","circles","NN","0.25"
"27","circles","NN + L2","0.5"
"27","circles","NN + Scale Invariant","0.375"
"27","circles","NN + Offset Invariant","0.375"
"27","linear","Random Forest","0.1"
"27","linear","Linear Discriminant Analysis","0.1"
"27","linear","NN","0.1"
"27","linear","NN + L2","0.55"
"27","linear","NN + Scale Invariant","0.125"
"27","linear","NN + Offset Invariant","0.075"
"27","xor","Random Forest","0.275"
"27","xor","Linear Discriminant Analysis","0.5"
"27","xor","NN","0.25"
"27","xor","NN + L2","0.5"
"27","xor","NN + Scale Invariant","0.175"
"27","xor","NN + Offset Invariant","0.225"
"28","moons","Random Forest","0.125"
"28","moons","Linear Discriminant Analysis","0.15"
"28","moons","NN","0.15"
"28","moons","NN + L2","0.525"
"28","moons","NN + Scale Invariant","0.1"
"28","moons","NN + Offset Invariant","0.15"
"28","circles","Random Forest","0.225"
"28","circles","Linear Discriminant Analysis","0.475"
"28","circles","NN","0.15"
"28","circles","NN + L2","0.525"
"28","circles","NN + Scale Invariant","0.1"
"28","circles","NN + Offset Invariant","0.25"
"28","linear","Random Forest","0.2"
"28","linear","Linear Discriminant Analysis","0.15"
"28","linear","NN","0.15"
"28","linear","NN + L2","0.55"
"28","linear","NN + Scale Invariant","0.125"
"28","linear","NN + Offset Invariant","0.175"
"28","xor","Random Forest","0.4"
"28","xor","Linear Discriminant Analysis","0.475"
"28","xor","NN","0.25"
"28","xor","NN + L2","0.5"
"28","xor","NN + Scale Invariant","0.25"
"28","xor","NN + Offset Invariant","0.275"
"29","moons","Random Forest","0.15"
"29","moons","Linear Discriminant Analysis","0.225"
"29","moons","NN","0.225"
"29","moons","NN + L2","0.55"
"29","moons","NN + Scale Invariant","0.2"
"29","moons","NN + Offset Invariant","0.15"
"29","circles","Random Forest","0.175"
"29","circles","Linear Discriminant Analysis","0.6"
"29","circles","NN","0.475"
"29","circles","NN + L2","0.575"
"29","circles","NN + Scale Invariant","0.375"
"29","circles","NN + Offset Invariant","0.375"
"29","linear","Random Forest","0.15"
"29","linear","Linear Discriminant Analysis","0.05"
"29","linear","NN","0.125"
"29","linear","NN + L2","0.55"
"29","linear","NN + Scale Invariant","0.1"
"29","linear","NN + Offset Invariant","0.1"
"29","xor","Random Forest","0.35"
"29","xor","Linear Discriminant Analysis","0.55"
"29","xor","NN","0.4"
"29","xor","NN + L2","0.625"
"29","xor","NN + Scale Invariant","0.275"
