"trial","dataset","model","missclassification"
"50","moons","NN + L2","0.125"
"50","moons","NN + Scale","0.15"
"50","moons","NN + Offset","0.125"
"50","circles","NN","0.15"
"50","circles","NN + L2","0.2"
"50","circles","NN + Scale","0.15"
"50","circles","NN + Offset","0.35"
"50","linear","NN","0.15"
"50","linear","NN + L2","0.2"
"50","linear","NN + Scale","0.2"
"50","linear","NN + Offset","0.15"
"50","xor","NN","0.325"
"50","xor","NN + L2","0.175"
"50","xor","NN + Scale","0.1"
"50","xor","NN + Offset","0.075"
"51","moons","NN","0.125"
"51","moons","NN + L2","0.15"
"51","moons","NN + Scale","0.125"
"51","moons","NN + Offset","0.125"
"51","circles","NN","0.175"
"51","circles","NN + L2","0.325"
"51","circles","NN + Scale","0.15"
"51","circles","NN + Offset","0.2"
"51","linear","NN","0.075"
"51","linear","NN + L2","0.125"
"51","linear","NN + Scale","0.075"
"51","linear","NN + Offset","0.075"
"51","xor","NN","0.325"
"51","xor","NN + L2","0.325"
